platform,source_name,channel_category,message_id,published_at,text,views,forwards,replies,has_media,url
telegram,IsraelNewsLive,breaking_news,1,2023-09-01 18:02:00,Breaking: Sirens activated in Kiryat Gat. Residents should enter shelters immediately.,1778,46,7,False,https://t.me/IsraelNewsLive/1
telegram,IsraelNewsLive,breaking_news,2,2023-09-01 04:35:00,Massive rally held in Tel Aviv in support of hostage families.,9648,713,106,False,https://t.me/IsraelNewsLive/2
telegram,IsraelNewsLive,breaking_news,3,2023-09-01 14:35:00,UN Security Council holds emergency session on Israel-Gaza conflict.,4134,260,97,False,https://t.me/IsraelNewsLive/3
telegram,IsraelNewsLive,breaking_news,4,2023-09-01 01:04:00,UPDATE: 25 rockets intercepted by Iron Dome over Sderot.,2844,321,49,False,https://t.me/IsraelNewsLive/4
telegram,IsraelNewsLive,breaking_news,5,2023-09-01 13:28:00,Prime Minister holds emergency security cabinet meeting.,6331,425,86,False,https://t.me/IsraelNewsLive/5
telegram,IsraelNewsLive,breaking_news,6,2023-09-01 06:01:00,UN Security Council holds emergency session on Israel-Gaza conflict.,4743,120,80,True,https://t.me/IsraelNewsLive/6
telegram,IsraelNewsLive,breaking_news,7,2023-09-01 07:06:00,Prime Minister holds emergency security cabinet meeting.,5058,417,111,True,https://t.me/IsraelNewsLive/7
telegram,IsraelNewsLive,breaking_news,8,2023-09-01 22:46:00,Prime Minister holds emergency security cabinet meeting.,4321,152,9,False,https://t.me/IsraelNewsLive/8
telegram,IsraelNewsLive,breaking_news,9,2023-09-01 03:33:00,Home Front Command issues updated shelter guidelines for residents.,6489,641,66,False,https://t.me/IsraelNewsLive/9
telegram,IsraelNewsLive,breaking_news,10,2023-09-01 04:57:00,Prime Minister holds emergency security cabinet meeting.,5942,226,167,False,https://t.me/IsraelNewsLive/10
telegram,IsraelNewsLive,breaking_news,11,2023-09-01 04:09:00,International condemnation grows as humanitarian situation worsens.,4759,567,127,False,https://t.me/IsraelNewsLive/11
telegram,IsraelNewsLive,breaking_news,12,2023-09-01 02:44:00,UPDATE: 12 rockets intercepted by Iron Dome over Ashkelon.,10039,673,102,True,https://t.me/IsraelNewsLive/12
telegram,IsraelNewsLive,breaking_news,13,2023-09-01 00:46:00,Exclusive: Behind the scenes of the hostage negotiations.,3025,61,68,True,https://t.me/IsraelNewsLive/13
