platform,source_name,article_id,published_at,title,summary,category,url,date
rss,Ynet,1,2023-09-01 13:29:00,Families demand updates on 8 hostages held in Gaza,Simulated article summary for category 'hostages' from Ynet.,hostages,https://ynet.co.il/article/1,2023-09-01
rss,Ynet,2,2023-09-01 08:30:00,Families demand updates on 43 hostages held in Gaza,Simulated article summary for category 'hostages' from Ynet.,hostages,https://ynet.co.il/article/2,2023-09-01
rss,Ynet,3,2023-09-01 23:13:00,BREAKING: Situation escalates as sirens sound in Sderot,Simulated article summary for category 'breaking_news' from Ynet.,breaking_news,https://ynet.co.il/article/3,2023-09-01
rss,Ynet,4,2023-09-01 23:31:00,World leaders react to latest developments in Israel-Gaza war,Simulated article summary for category 'international' from Ynet.,international,https://ynet.co.il/article/4,2023-09-01
rss,Ynet,5,2023-09-01 19:42:00,Home Front Command updates shelter protocols for Kiryat Gat,Simulated article summary for category 'home_front' from Ynet.,home_front,https://ynet.co.il/article/5,2023-09-01
rss,Ynet,6,2023-09-01 22:15:00,Families demand updates on 20 hostages held in Gaza,Simulated article summary for category 'hostages' from Ynet.,hostages,https://ynet.co.il/article/6,2023-09-01
rss,Ynet,7,2023-09-01 12:50:00,Cabinet emergency session addresses ground operation,Simulated article summary for category 'politics' from Ynet.,politics,https://ynet.co.il/article/7,2023-09-01
rss,Ynet,8,2023-09-01 11:28:00,IDF reports 21 rockets intercepted over Jerusalem,Simulated article summary for category 'security' from Ynet.,security,https://ynet.co.il/article/8,2023-09-01
rss,Ynet,9,2023-09-01 10:01:00,Families demand updates on 17 hostages held in Gaza,Simulated article summary for category 'hostages' from Ynet.,hostages,https://ynet.co.il/article/9,2023-09-01
rss,Ynet,10,2023-09-01 13:57:00,Home Front Command updates shelter protocols for Tel Aviv,Simulated article summary for category 'home_front' from Ynet.,home_front,https://ynet.co.il/article/10,2023-09-01
rss,Ynet,11,2023-09-01 09:06:00,Cabinet emergency session addresses war cabinet decisions,Simulated article summary for category 'politics' from Ynet.,politics,https://ynet.co.il/article/11,2023-09-01
rss,Ynet,12,2023-09-01 23:29:00,IDF reports 16 rockets intercepted over Ashkelon,Simulated article summary for category 'security' from Ynet.,security,https://ynet.co.il/article/12,2023-09-01
rss,Ynet,13,2023-09-01 13:53:00,Families demand updates on 7 hostages held in Gaza,Simulated article summary for category 'hostages' from Ynet.,hostages,https://ynet.co.il/article/13,2023-09-01
